1201021,Wong Wai Lun,UTC,2024-12-09,12:30:00,19697,Thuwunna Stadium,Yangon,90,10,24,AFF Championship,2023,Group Stage - 1,1556,Myanmar,1571,Indonesia,0,1,0,0,,,,
1278439,,UTC,2024-12-09,12:30:00,,Stadiumi Adush Muçaj,Ballsh,90,7,310,Superliga,2024,Regular Season - 17,3325,Bylis,708,Partizani,2,1,2,0,,,,
1278626,,UTC,2024-12-09,12:30:00,2171,Stadiumi Gjorgji Kyçyku,Pogradec,90,8,311,1st Division,2024,Regular Season - 15,3334,Pogradeci,3324,Burreli,0,2,0,0,,,,
1306928,,UTC,2024-12-09,12:30:00,779,Stadio Néas Smírnis,Athens,90,4,494,Super League 2,2024,Group B - 12,622,Panionios,6315,Panargiakos,4,0,2,0,,,,
1310074,,UTC,2024-12-09,12:30:00,10635,WE Al-Ahly Stadium,Cairo,90,7,887,Second League,2024,Regular Season - 11,18032,Itesalat,1045,Tanta SC,2,1,1,0,,,,
1310075,,UTC,2024-12-09,12:30:00,,Al Qanah Stadium,Ismailia,90,6,887,Second League,2024,Regular Season - 11,13822,Olympic El Qanah,18031,El Seka El Hadid,1,1,0,1,,,,
1310076,,UTC,2024-12-09,12:30:00,8543,Al-Shorta Stadium,Cairo,90,8,887,Second League,2024,Regular Season - 11,1032,El Dakhleya,15731,Abu Qair Semad,1,2,1,1,,,,
1310077,,UTC,2024-12-09,12:30:00,12573,Alexandria Sporting Club Stadium,Alexandria,90,7,887,Second League,2024,Regular Season - 11,18044,Sporting Alexandria,16436,La Viena FC,0,1,0,0,,,,
1310078,,UTC,2024-12-09,12:30:00,,Arab Contractors Stadium,Cairo,90,4,887,Second League,2024,Regular Season - 11,1575,El Mokawloon,16432,El Mansura,3,0,1,0,,,,
1310474,,UTC,2024-12-09,12:30:00,1056,Stadium Tuanku Abdul Rahman,Seremban,90,4,278,Super League,2024,Regular Season - 16,2502,Negeri Sembilan,2526,Selangor,0,4,0,2,,,,
