id, name, logo
19825,Gil Vicente U23,https://media.api-sports.io/football/teams/19825.png
21718,Academico Viseu U23,https://media.api-sports.io/football/teams/21718.png
17475,Vizela U23,https://media.api-sports.io/football/teams/17475.png
21720,Torreense U23,https://media.api-sports.io/football/teams/21720.png
7466,CSA Steaua Bucureşti,https://media.api-sports.io/football/teams/7466.png
2586,Chindia Targoviste,https://media.api-sports.io/football/teams/2586.png
5328,Al-Rustaq,https://media.api-sports.io/football/teams/5328.png
5327,Al-Nahda,https://media.api-sports.io/football/teams/5327.png
7885,Barcelona U19,https://media.api-sports.io/football/teams/7885.png
24971,Brest U19,https://media.api-sports.io/football/teams/24971.png
7887,Bayern München U19,https://media.api-sports.io/football/teams/7887.png
7921,PSG U19,https://media.api-sports.io/football/teams/7921.png
7914,Manchester City U19,https://media.api-sports.io/football/teams/7914.png
7981,Feyenoord U19,https://media.api-sports.io/football/teams/7981.png
1998,Shinnik Yaroslavl,https://media.api-sports.io/football/teams/1998.png
6786,Akron,https://media.api-sports.io/football/teams/6786.png
385,Torpedo Zhodino,https://media.api-sports.io/football/teams/385.png
392,Shakhter Soligorsk,https://media.api-sports.io/football/teams/392.png
19824,Estrela U23,https://media.api-sports.io/football/teams/19824.png
15463,Estoril U23,https://media.api-sports.io/football/teams/15463.png
17474,Farense U23,https://media.api-sports.io/football/teams/17474.png
19826,Mafra U23,https://media.api-sports.io/football/teams/19826.png
5242,Al Shorta,https://media.api-sports.io/football/teams/5242.png
2872,Al-Wasl FC,https://media.api-sports.io/football/teams/2872.png
2895,Al Sadd,https://media.api-sports.io/football/teams/2895.png
2932,Al-Hilal Saudi FC,https://media.api-sports.io/football/teams/2932.png
2744,Sepahan FC,https://media.api-sports.io/football/teams/2744.png
4537,Al Wihdat,https://media.api-sports.io/football/teams/4537.png
9986,Suhul Shire,https://media.api-sports.io/football/teams/9986.png
4112,Bahardar,https://media.api-sports.io/football/teams/4112.png
2699,Mamelodi Sundowns,https://media.api-sports.io/football/teams/2699.png
8064,Maniema Union,https://media.api-sports.io/football/teams/8064.png
1577,Al Ahly,https://media.api-sports.io/football/teams/1577.png
4525,Stade d'Abidjan,https://media.api-sports.io/football/teams/4525.png
