fixture_id,team_id,player_id,minutes,rating,captain,offsides,total_shots,shots_on,goals_scored,goals_conceded,assists,saves,passes_attempted,passes_completed,key_passes,tackles,blocks,interceptions,duels_total,duels_won,dribbles_attempted,dribbles_completed,dribbled_past,fouls_drawn,fouls_committed,yellow_cards,red_cards,penalties_won,penalties_committed,penalties_scored,penalties_missed,penalties_saved
1208142,40,158698,0,0.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1208142,40,162590,0,0.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1208142,40,19035,0,0.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1208138,57,616,90,7.0,False,0,0,0,0,1,0,3,27,14,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0
1208138,57,19182,90,6.6,False,0,0,0,0,0,0,0,53,45,0,1,0,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0
1208138,57,17597,90,7.7,False,0,0,0,0,0,0,0,62,50,0,4,1,2,10,10,0,0,0,1,0,0,0,0,0,0,0,0
1208138,57,20457,90,6.9,False,0,0,0,0,0,0,0,52,46,0,1,1,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0
1208138,57,19119,90,6.3,False,0,0,0,0,0,0,0,16,12,1,1,0,0,6,1,0,0,2,0,2,0,0,0,0,0,0,0
1208138,57,19558,90,7.2,True,0,0,0,0,0,0,0,71,67,1,0,0,2,9,4,1,1,1,2,2,0,0,0,0,0,0,0
1208138,57,15797,65,6.6,False,0,1,0,0,0,0,0,37,33,0,0,0,0,6,2,1,1,1,1,1,0,0,0,0,0,0,0
1208138,57,20089,82,6.6,False,0,0,0,0,0,1,0,20,15,3,0,0,0,5,1,3,1,0,0,0,0,0,0,0,0,0,0
1208138,57,284428,90,7.3,False,0,2,2,1,0,0,0,42,36,1,4,0,0,14,7,4,2,0,1,2,0,0,0,0,0,0,0
1208138,57,17579,65,6.9,False,0,2,1,0,0,0,0,9,6,0,2,0,0,6,3,0,0,0,1,0,0,0,0,0,0,0,0
1208138,57,161948,81,5.9,False,0,3,2,0,0,0,0,10,8,0,0,0,0,10,2,2,0,1,1,2,0,0,0,0,0,0,0
1208138,57,18397,25,6.6,False,0,0,0,0,0,0,0,9,7,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
1208138,57,19136,25,6.9,False,0,0,0,0,0,0,0,5,3,1,1,0,0,5,3,0,0,0,2,0,0,0,0,0,0,0,0
1208138,57,299813,9,6.3,False,0,0,0,0,0,0,0,4,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
1208138,57,20007,8,6.2,False,0,1,1,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1208138,57,19541,0,0.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1208138,57,138836,0,0.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1208138,57,17714,0,0.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1208138,57,19152,0,0.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1208138,57,2752,0,0.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
