fixture_id, team_id, player_id,number,subbed_in
1208142,41,19825,7,True
1208142,41,270508,26,True
1208142,41,32887,16,True
1208142,41,137302,19,True
1208142,41,19485,17,False
1208142,41,19587,3,False
1208142,41,19719,14,False
1208142,41,19573,13,False
1208142,41,199837,20,False
1208142,40,2489,7,True
1208142,40,6716,10,True
1208142,40,8500,3,True
1208142,40,158698,78,False
1208142,40,180316,95,False
1208142,40,19035,19,False
1208142,40,284,2,False
1208142,40,162590,80,False
1208142,40,162687,56,False
1208138,57,18397,14,True
1208138,57,19136,47,True
1208138,57,299813,16,True
1208138,57,20007,10,True
1208138,57,19541,28,False
1208138,57,138836,2,False
1208138,57,19152,22,False
1208138,57,17714,6,False
1208138,57,2752,25,False
1208138,33,51494,25,True
1208138,33,891,23,True
1208138,33,288006,9,True
1208138,33,70100,11,True
1208138,33,19220,7,True
1208138,33,50132,1,False
1208138,33,37145,12,False
1208138,33,9971,21,False
1208138,33,284322,37,False
